"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","gigiot-22",,,,"User:","root"
"Cmdline:","dstat --noheaders -D mmcblk0,mmcblk1,sda,sdb -f --output=gigiot.csv 1 30",,,,"Date:","04 Mar 2018 11:28:40 PST"

"cpu0 usage",,,,,,"cpu1 usage",,,,,,"cpu2 usage",,,,,,"cpu3 usage",,,,,,"dsk/mmcblk0",,"dsk/mmcblk1",,"dsk/sda",,"dsk/sdb",,"net/enp3s0",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","read","writ","read","writ","read","writ","read","writ","recv","send","in","out","int","csw"
0.0,1.010,0.0,98.990,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8353899.0,18410.0,0.0,0.0,1987.0,1892.0,
1.010,1.010,0.0,97.980,0.0,0.0,4.082,0.0,64.286,31.633,0.0,0.0,1.0,1.0,95.0,3.0,0.0,0.0,1.980,0.0,97.030,0.990,0.0,0.0,0.0,401408.0,0.0,0.0,0.0,0.0,0.0,0.0,9622.0,10934.0,0.0,0.0,2040.0,2615.0,
0.0,1.0,0.0,98.0,0.0,1.0,0.990,0.990,25.743,71.287,0.0,0.990,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,16384.0,35328.0,0.0,0.0,0.0,0.0,0.0,6414336.0,11590.0,10388.0,0.0,0.0,1767.0,2203.0,
0.0,1.020,31.633,67.347,0.0,0.0,3.030,1.010,64.646,31.313,0.0,0.0,2.020,1.010,95.960,1.010,0.0,0.0,3.030,0.0,95.960,1.010,0.0,0.0,0.0,45056.0,0.0,0.0,0.0,16384.0,0.0,15650816.0,10158.0,17820.0,0.0,0.0,2607.0,3561.0,
1.010,3.030,94.949,1.010,0.0,0.0,1.0,1.0,0.0,98.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,26624.0,0.0,0.0,0.0,0.0,0.0,0.0,9068.0,9266.0,0.0,0.0,1454.0,1672.0,
0.0,1.0,99.0,0.0,0.0,0.0,1.010,0.0,0.0,98.990,0.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,18432.0,0.0,0.0,0.0,0.0,0.0,0.0,9062.0,9200.0,0.0,0.0,1381.0,1719.0,
1.010,4.040,55.556,39.394,0.0,0.0,1.0,4.0,39.0,56.0,0.0,0.0,0.0,4.124,94.845,1.031,0.0,0.0,1.020,5.102,93.878,0.0,0.0,0.0,0.0,44544.0,0.0,0.0,0.0,20111360.0,0.0,2527232.0,16599047.0,60490.0,0.0,0.0,3794.0,5126.0,
1.031,3.093,0.0,94.845,0.0,1.031,0.0,1.042,97.917,0.0,0.0,1.042,1.020,3.061,93.878,1.020,0.0,1.020,2.041,8.163,88.776,0.0,0.0,1.020,180224.0,517120.0,0.0,0.0,0.0,0.0,0.0,14491648.0,42579621.0,109476.0,0.0,0.0,5401.0,5818.0,
5.208,6.250,66.667,20.833,0.0,1.042,6.250,10.417,21.875,60.417,0.0,1.042,5.155,6.186,87.629,0.0,0.0,1.031,4.082,4.082,88.776,2.041,0.0,1.020,16384.0,310784.0,0.0,0.0,0.0,31850496.0,0.0,12193792.0,41066600.0,103654.0,0.0,0.0,6208.0,7500.0,
2.020,1.010,95.960,1.010,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,16384.0,15360.0,4608.0,0.0,0.0,0.0,0.0,14557184.0,1257068.0,18591.0,0.0,0.0,2441.0,2970.0,
1.031,9.278,86.598,2.062,0.0,1.031,4.082,6.122,54.082,35.714,0.0,0.0,3.125,4.167,38.542,54.167,0.0,0.0,3.125,7.292,85.417,4.167,0.0,0.0,0.0,73216.0,0.0,0.0,4096.0,23285760.0,4096.0,11108352.0,40928335.0,132970.0,0.0,0.0,6266.0,7581.0,
1.010,0.0,98.990,0.0,0.0,0.0,0.990,0.990,97.030,0.0,0.0,0.990,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,114688.0,0.0,0.0,4096.0,28672.0,4096.0,13193216.0,3472616.0,9930.0,0.0,0.0,2737.0,3372.0,
2.062,9.278,85.567,3.093,0.0,0.0,1.053,6.316,8.421,84.211,0.0,0.0,1.020,5.102,92.857,0.0,0.0,1.020,0.0,2.083,91.667,5.208,0.0,1.042,32768.0,28160.0,0.0,0.0,0.0,23441408.0,0.0,11956224.0,42257088.0,105046.0,0.0,0.0,5831.0,6723.0,
3.061,5.102,91.837,0.0,0.0,0.0,3.061,3.061,2.041,91.837,0.0,0.0,2.041,3.061,88.776,6.122,0.0,0.0,5.051,3.030,91.919,0.0,0.0,0.0,16384.0,57344.0,0.0,0.0,0.0,4550656.0,8192.0,10956800.0,3922686.0,19614.0,0.0,0.0,3492.0,4806.0,
3.030,7.071,88.889,0.0,0.0,1.010,1.020,2.041,95.918,0.0,0.0,1.020,1.031,1.031,0.0,97.938,0.0,0.0,1.031,5.155,93.814,0.0,0.0,0.0,0.0,0.0,4608.0,0.0,0.0,0.0,0.0,14680064.0,39157198.0,98662.0,0.0,0.0,4827.0,5068.0,
0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,1.010,98.990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097152.0,11704.0,10888.0,0.0,0.0,1526.0,1827.0,
1.0,1.0,80.0,18.0,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,1.010,0.0,0.0,98.990,0.0,0.0,0.980,0.980,96.078,1.961,0.0,0.0,0.0,409600.0,0.0,0.0,0.0,18911232.0,0.0,0.0,10388.0,10542.0,0.0,0.0,2038.0,2844.0,
0.0,1.0,99.0,0.0,0.0,0.0,1.010,0.0,6.061,92.929,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802816.0,8500.0,8972.0,0.0,0.0,1268.0,1560.0,
